,Country,Job Title,Age,Quantity,Percentage
2786,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",39,1,0.0117%
2787,Spain,Data Systems Manager,49,1,0.0117%
2788,Spain,Data Processing Manager,27,1,0.0117%
2789,Spain,Automatic Data Processing Planner,33,1,0.0117%
2790,Spain,Data Processing Systems Analyst,52,1,0.0117%
2791,Spain,Computer or Data Processing Systems Consultant,40,1,0.0117%
2792,Spain,,44,1,0.0117%
2793,Spain,Data Operations Director,59,1,0.0117%
2794,Spain,Data Processing Manager,41,1,0.0117%
2795,Spain,,40,1,0.0117%
2796,Spain,Electronic Data Processing Auditor (EDP Auditor),28,1,0.0117%
2797,Spain,Data Warehousing Specialist,52,1,0.0117%
2798,Spain,Business Database Analyst,27,1,0.0117%
2799,Spain,Database Development Project Manager,39,1,0.0117%
2800,Spain,Data Reduction Technician,33,1,0.0117%
2801,Spain,,41,1,0.0117%
2802,Spain,Database Security Expert,42,1,0.0117%
2803,Spain,,22,1,0.0117%
2804,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),18,1,0.0117%
2805,Spain,,55,1,0.0117%
2806,Spain,Data Coordinator,28,1,0.0117%
2807,Spain,,19,1,0.0117%
2808,Spain,Databases Computer Consultant,30,1,0.0117%
2809,Spain,Data Warehouse Architect,45,1,0.0117%
2810,Spain,,59,1,0.0117%
2811,Spain,,41,1,0.0117%
2812,Spain,Data Warehouse Analyst,32,1,0.0117%
2813,Spain,Database Tester,40,1,0.0117%
2814,Spain,Data Security Administrator,29,1,0.0117%
2815,Spain,Data Processing Systems Project Planner,32,1,0.0117%
2816,Spain,Database Management System Specialist (DBMS Specialist),47,1,0.0117%
2817,Spain,Clinical Data Associate,34,1,0.0117%
2818,Spain,,40,1,0.0117%
2819,Spain,,50,1,0.0117%
2820,Spain,,27,1,0.0117%
2821,Spain,Data Warehouse Architect,41,1,0.0117%
2822,Spain,Database Administration Project Manager,41,1,0.0117%
2823,Spain,,26,1,0.0117%
2824,Spain,,26,1,0.0117%
2825,Spain,Data Reviewer,36,1,0.0117%
2826,Spain,Database Administration Manager,50,1,0.0117%
2827,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),37,1,0.0117%
2828,Spain,,44,1,0.0117%
2829,Spain,,59,1,0.0117%
2830,Spain,,52,1,0.0117%
2831,Spain,,20,1,0.0117%
2832,Spain,,22,1,0.0117%
2833,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),22,1,0.0117%
2834,Spain,SQL Database Administrator,48,1,0.0117%
2835,Spain,Data Typist,42,1,0.0117%
2836,Spain,,49,1,0.0117%
2837,Spain,Data Processing Systems Analyst,39,1,0.0117%
2838,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),41,1,0.0117%
2839,Spain,,21,1,0.0117%
2840,Spain,Data Warehouse Developer,42,1,0.0117%
2841,Spain,,44,1,0.0117%
2842,Spain,,23,1,0.0117%
2843,Spain,,43,1,0.0117%
2844,Spain,Database Design Analyst,29,1,0.0117%
2845,Spain,Health Data Analyst,49,1,0.0117%
2846,Spain,,38,1,0.0117%
2847,Spain,SQL Database Administrator,61,1,0.0117%
2848,Spain,,33,1,0.0117%
2849,Spain,Database Engineer,32,1,0.0117%
2850,Spain,Data Modeling Specialist,20,1,0.0117%
2851,Spain,,50,1,0.0117%
2852,Spain,,25,1,0.0117%
2853,Spain,Database Security Expert,41,1,0.0117%
2854,Spain,,40,1,0.0117%
2855,Spain,,54,1,0.0117%
2856,Spain,,27,1,0.0117%
2857,Spain,,33,1,0.0117%
2858,Spain,Data Technician,42,1,0.0117%
2859,Spain,Data Processing Systems Project Planner,52,1,0.0117%
2860,Spain,Database Administration Manager,40,1,0.0117%
2861,Spain,,27,1,0.0117%
2862,Spain,Database Administration Project Manager,39,1,0.0117%
2863,Spain,Data Processing Manager,40,1,0.0117%
2864,Spain,,41,1,0.0117%
2865,Spain,Data Storage Specialist,34,1,0.0117%
2866,Spain,Computer or Data Processing Systems Consultant,40,1,0.0117%
2867,Spain,Health Data Analyst,40,1,0.0117%
2868,Spain,Oracle Database Administrator (Oracle DBA),28,1,0.0117%
2869,Spain,Data Management Information Technology Specialist,40,1,0.0117%
2870,Spain,Clinical Data Management Manager (CDM Manager),34,1,0.0117%
2871,Spain,,19,1,0.0117%
2872,Spain,Data Processing Systems Project Planner,56,1,0.0117%
2873,Spain,Data Warehousing Engineer,48,1,0.0117%
2874,Spain,,44,1,0.0117%
2875,Spain,Database Marketing Analyst,29,1,0.0117%
2876,Spain,Computer or Data Processing Systems Consultant,35,1,0.0117%
2877,Spain,Data Control Clerk Supervisor,41,1,0.0117%
2878,Spain,Data Processing Mechanic,61,1,0.0117%
2879,Spain,,40,1,0.0117%
2880,Spain,Clinical Data Specialist,39,1,0.0117%
2881,Spain,Database Specialist,55,1,0.0117%
2882,Spain,,43,1,0.0117%
2883,Spain,,19,1,0.0117%
2884,Spain,,51,1,0.0117%
2885,Spain,Automatic Data Processing Planner (ADP Planner),25,1,0.0117%
2886,Spain,Databases Software Consultant,57,1,0.0117%
2887,Spain,Computer or Data Processing Systems Consultant,44,1,0.0117%
2888,Spain,,43,1,0.0117%
2889,Spain,,18,1,0.0117%
2890,Spain,Data Warehouse Analyst,41,1,0.0117%
2891,Spain,,54,1,0.0117%
2892,Spain,Data Processing Systems Analyst,32,1,0.0117%
2893,Spain,Data Warehouse Architect,45,1,0.0117%
2894,Spain,Director of Data Operations,36,1,0.0117%
2895,Spain,,41,1,0.0117%
2896,Spain,,26,1,0.0117%
2897,Spain,,37,1,0.0117%
2898,Spain,Data Processing Systems Analyst,39,1,0.0117%
2899,Spain,Data Warehouse Specialist,30,1,0.0117%
2900,Spain,Database Developer,26,1,0.0117%
2901,Spain,Database Consultant,49,1,0.0117%
2902,Spain,Data Scientist,40,1,0.0117%
2903,Spain,Data Security Administrator,45,1,0.0117%
2904,Spain,,27,1,0.0117%
2905,Spain,Data Processing Systems Analyst,44,1,0.0117%
2906,Spain,Data Conversion Operator,54,1,0.0117%
2907,Spain,,29,1,0.0117%
2908,Spain,Data Processing Consultant,34,1,0.0117%
2909,Spain,Database Management System Specialist (DBMS Specialist),53,1,0.0117%
2910,Spain,,29,1,0.0117%
2911,Spain,Electronic Data Interchange System Developer (EDI System Developer),53,1,0.0117%
2912,Spain,,26,1,0.0117%
2913,Spain,Data Warehouse Analyst,29,1,0.0117%
2914,Spain,Geographic Information Systems Data Manager (GIS Data Manager),45,1,0.0117%
2915,Spain,Database Engineer,56,1,0.0117%
2916,Spain,,40,1,0.0117%
2917,Spain,Data Communications Technician,54,1,0.0117%
2918,Spain,Databases Computer Consultant,27,1,0.0117%
2919,Spain,Clinical Data Management Manager (CDM Manager),41,1,0.0117%
2920,Spain,,48,1,0.0117%
2921,Spain,Head of Information Systems and Data Processing,59,1,0.0117%
2922,Spain,Electronic Data Interchange System Developer (EDI System Developer),37,1,0.0117%
2923,Spain,,19,1,0.0117%
2924,Spain,,57,1,0.0117%
2925,Spain,,18,1,0.0117%
2926,Spain,Data Base Design Analyst,33,1,0.0117%
2927,Spain,Data Processing Auditor,43,1,0.0117%
2928,Spain,,24,1,0.0117%
2929,Spain,,19,1,0.0117%
2930,Spain,Automatic Data Processing Planner (ADP Planner),40,1,0.0117%
2931,Spain,,48,1,0.0117%
2932,Spain,,40,1,0.0117%
2933,Spain,Scientific Database Curator,46,1,0.0117%
2934,Spain,Data Entry Specialist,58,1,0.0117%
2935,Spain,,60,1,0.0117%
2936,Spain,Data Warehouse Specialist,35,1,0.0117%
2937,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),45,1,0.0117%
2938,Spain,Data Architect,40,1,0.0117%
2939,Spain,,60,1,0.0117%
2940,Spain,Data Miner,48,1,0.0117%
2941,Spain,,50,1,0.0117%
2942,Spain,SQL Database Administrator,42,1,0.0117%
2943,Spain,,20,1,0.0117%
2944,Spain,Data Communications Technician,43,1,0.0117%
2945,Spain,Computer or Data Processing Systems Consultant,40,1,0.0117%
2946,Spain,,45,1,0.0117%
2947,Spain,Database Consultant,36,1,0.0117%
2948,Spain,,26,1,0.0117%
2949,Spain,,25,1,0.0117%
2950,Spain,Data Security Analyst,42,1,0.0117%
2951,Spain,,44,1,0.0117%
2952,Spain,,44,1,0.0117%
2953,Spain,Automatic Data Processing Planner (ADP Planner),49,1,0.0117%
2954,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),53,1,0.0117%
2955,Spain,,39,1,0.0117%
2956,Spain,Database Security Administrator,36,1,0.0117%
2957,Spain,Database Manager,48,1,0.0117%
2958,Spain,Data Operations Director,28,1,0.0117%
2959,Spain,Database Designer,56,1,0.0117%
2960,Spain,,50,1,0.0117%
2961,Spain,Database Software Technician,41,1,0.0117%
2962,Spain,,21,1,0.0117%
2963,Spain,Automatic Data Processing Planner,50,1,0.0117%
2964,Spain,Electronic Data Interchange System Developer (EDI System Developer),29,1,0.0117%
2965,Spain,Data Communications Software Consultant,33,1,0.0117%
2966,Spain,Data Miner,45,1,0.0117%
2967,Spain,Data Management Associate,40,1,0.0117%
2968,Spain,Data Modeling Specialist,51,1,0.0117%
2969,Spain,Data Entry Associate,43,1,0.0117%
2970,Spain,Director of Data Operations,30,1,0.0117%
2971,Spain,,17,1,0.0117%
2972,Spain,Head of Information Systems and Data Processing,50,1,0.0117%
2973,Spain,,24,1,0.0117%
2974,Spain,,41,1,0.0117%
2975,Spain,Data Miner,42,1,0.0117%
2976,Spain,,21,1,0.0117%
2977,Spain,Database Development and Administration Project Manager,45,1,0.0117%
2978,Spain,Flight Test Data Acquisition Technician,50,1,0.0117%
2979,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),39,1,0.0117%
2980,Spain,Data Modeling Specialist,38,1,0.0117%
2981,Spain,Automatic Data Processing Planner,45,1,0.0117%
2982,Spain,,50,1,0.0117%
2983,Spain,,19,1,0.0117%
2984,Spain,,41,1,0.0117%
2985,Spain,Data Coordinator,39,1,0.0117%
2986,Spain,Data Scientist,23,1,0.0117%
2987,Spain,Databases Software Consultant,36,1,0.0117%
2988,Spain,,39,1,0.0117%
2989,Spain,Data Processing Consultant,40,1,0.0117%
2990,Spain,,43,1,0.0117%
2991,Spain,Data Processing Equipment Repairer,45,1,0.0117%
2992,Spain,Data Warehouse Specialist,32,1,0.0117%
2993,Spain,Database Development and Administration Project Manager,25,1,0.0117%
2994,Spain,,61,1,0.0117%
2995,Spain,Electronic Data Interchange System Developer (EDI System Developer),39,1,0.0117%
2996,Spain,,18,1,0.0117%
2997,Spain,Data Processing Manager,42,1,0.0117%
2998,Spain,Database Development and Administration Project Manager,31,1,0.0117%
2999,Spain,Data Management Information Technology Specialist,51,1,0.0117%
3000,Spain,Data Processing Auditor,52,1,0.0117%
3001,Spain,,22,1,0.0117%
3002,Spain,,19,1,0.0117%
3003,Spain,Data Processing Systems Analyst,43,1,0.0117%
3004,Spain,,24,1,0.0117%
3005,Spain,,17,1,0.0117%
3006,Spain,,16,1,0.0117%
3007,Spain,Data Modeler,44,1,0.0117%
3008,Spain,,28,1,0.0117%
3009,Spain,,42,1,0.0117%
3010,Spain,Head of Information Systems and Data Processing,47,1,0.0117%
3011,Spain,Database Development and Administration Project Manager,19,1,0.0117%
3012,Spain,,41,1,0.0117%
3013,Spain,Data Storage Specialist,38,1,0.0117%
3014,Spain,,19,1,0.0117%
3015,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),39,1,0.0117%
3016,Spain,,23,1,0.0117%
3017,Spain,,21,1,0.0117%
3018,Spain,Database Technician,35,1,0.0117%
3019,Spain,Electronic Data Interchange System Developer (EDI System Developer),40,1,0.0117%
3020,Spain,,34,1,0.0117%
3021,Spain,Data Coordinator,39,1,0.0117%
3022,Spain,Geographic Information Systems Data Manager (GIS Data Manager),54,1,0.0117%
3023,Spain,,40,1,0.0117%
3024,Spain,,47,1,0.0117%
3025,Spain,,62,1,0.0117%
3026,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),33,1,0.0117%
3027,Spain,Database Engineer,34,1,0.0117%
3028,Spain,LiDAR Data Analyst,63,1,0.0117%
3029,Spain,,43,1,0.0117%
3030,Spain,Data Modeling Specialist,29,1,0.0117%
3031,Spain,,18,1,0.0117%
3032,Spain,Database Coordinator,34,1,0.0117%
3033,Spain,,27,1,0.0117%
3034,Spain,Data Security Administrator,52,1,0.0117%
3035,Spain,,45,1,0.0117%
3036,Spain,Oracle Database Administrator (Oracle DBA),61,1,0.0117%
3037,Spain,,42,1,0.0117%
3038,Spain,Databases Software Consultant,41,1,0.0117%
3039,Spain,Data Modeling Specialist,49,1,0.0117%
3040,Spain,Database Manager,32,1,0.0117%
3041,Spain,Data Management Associate,30,1,0.0117%
3042,Spain,Databases Software Consultant,29,1,0.0117%
3043,Spain,,46,1,0.0117%
3044,Spain,Database Manager,45,1,0.0117%
3045,Spain,,51,1,0.0117%
3046,Spain,Database Specialist,39,1,0.0117%
3047,Spain,Data Communications Software Consultant,51,1,0.0117%
3048,Spain,Data Architect,29,1,0.0117%
3049,Spain,Database Marketing Analyst,34,1,0.0117%
3050,Spain,,40,1,0.0117%
3051,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),27,1,0.0117%
3052,Spain,,25,1,0.0117%
3053,Spain,,35,1,0.0117%
3054,Spain,Data Entry Machine Operator,36,1,0.0117%
3055,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50,1,0.0117%
3056,Spain,Data Sciences Director,34,1,0.0117%
3057,Spain,Weight in Motion Field Data Collection Technician,37,1,0.0117%
3058,Spain,Data Processing Equipment Repairer,26,1,0.0117%
3059,Spain,Data Warehouse Architect,44,1,0.0117%
3060,Spain,,15,1,0.0117%
3061,Spain,Database Security Administrator,33,1,0.0117%
3062,Spain,Data Warehouse Analyst,40,1,0.0117%
3063,Spain,Data Management Associate,42,1,0.0117%
3064,Spain,Oracle Database Administrator (Oracle DBA),34,1,0.0117%
3065,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),22,1,0.0117%
3066,Spain,Database Marketing Analyst,39,1,0.0117%
3067,Spain,,41,1,0.0117%
3068,Spain,Director of Data Operations,28,1,0.0117%
3069,Spain,,19,1,0.0117%
3070,Spain,,36,1,0.0117%
3071,Spain,Database Marketing Analyst,40,1,0.0117%
3072,Spain,,50,1,0.0117%
3073,Spain,Database Security Administrator,52,1,0.0117%
3074,Spain,Database Administration Manager,48,1,0.0117%
3075,Spain,Data Base Design Analyst,41,1,0.0117%
3076,Spain,,22,1,0.0117%
3077,Spain,Data Entry Machine Operator,40,1,0.0117%
3078,Spain,Data Warehousing Engineer,38,1,0.0117%
3079,Spain,Data Processing Supervisor,46,1,0.0117%
3080,Spain,,27,1,0.0117%
3081,Spain,,16,1,0.0117%
3082,Spain,,22,1,0.0117%
3083,Spain,,22,1,0.0117%
3084,Spain,Data Warehousing Manager,45,1,0.0117%
3085,Spain,,23,1,0.0117%
3086,Spain,Database Management System Specialist (DBMS Specialist),30,1,0.0117%
3087,Spain,,40,1,0.0117%
3088,Spain,Analytical Data Miner,22,1,0.0117%
3089,Spain,,48,1,0.0117%
3090,Spain,Naval Tactical Data System--Combat Information Center Officer,18,1,0.0117%
3091,Spain,Database Management System Specialist (DBMS Specialist),46,1,0.0117%
3092,Spain,Data Keyer,64,1,0.0117%
3093,Spain,Database Security Expert,39,1,0.0117%
3094,Spain,Data Systems Manager,39,1,0.0117%
3095,Spain,,35,1,0.0117%
3096,Spain,,22,1,0.0117%
3097,Spain,Data Reduction Technician,41,1,0.0117%
3098,Spain,Databases Computer Consultant,38,1,0.0117%
3099,Spain,Geographic Information Systems Data Manager (GIS Data Manager),38,1,0.0117%
3100,Spain,Data Systems Manager,46,1,0.0117%
3101,Spain,Database Security Expert,36,1,0.0117%
3102,Spain,Data Processing Systems Analyst,50,1,0.0117%
3103,Spain,,22,1,0.0117%
3104,Spain,,46,1,0.0117%
3105,Spain,Data Communications Analyst,39,1,0.0117%
3106,Spain,,22,1,0.0117%
3107,Spain,,17,1,0.0117%
3108,Spain,Data Warehouse Specialist,47,1,0.0117%
3109,Spain,Database Software Technician,35,1,0.0117%
3110,Spain,,37,1,0.0117%
3111,Spain,Database Coordinator,43,1,0.0117%
3112,Spain,Database Development and Administration Project Manager,38,1,0.0117%
3113,Spain,Data Processing Manager,40,1,0.0117%
3114,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),25,1,0.0117%
3115,Spain,Databases Software Consultant,64,1,0.0117%
3116,Spain,,21,1,0.0117%
3117,Spain,Medical Data Analyst,42,1,0.0117%
3118,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),41,1,0.0117%
3119,Spain,Database Coordinator,50,1,0.0117%
3120,Spain,Data Warehousing Specialist,41,1,0.0117%
3121,Spain,,57,1,0.0117%
3122,Spain,Computer or Data Processing Systems Consultant,39,1,0.0117%
3123,Spain,,41,1,0.0117%
3124,Spain,Data Processing Equipment Repairer,42,1,0.0117%
3125,Spain,Data Warehouse Architect,40,1,0.0117%
3126,Spain,,29,1,0.0117%
3127,Spain,Data Security Analyst,46,1,0.0117%
3128,Spain,Database Architect,45,1,0.0117%
3129,Spain,Automatic Data Processing Planner (ADP Planner),34,1,0.0117%
3130,Spain,Database Administration Associate,51,1,0.0117%
3131,Spain,Data Analysis Assistant,44,1,0.0117%
3132,Spain,,20,1,0.0117%
3133,Spain,,20,1,0.0117%
3134,Spain,Geographic Information Systems Data Manager (GIS Data Manager),40,1,0.0117%
3135,Spain,Data Modeling Specialist,43,1,0.0117%
3136,Spain,Data Coordinator,44,1,0.0117%
3137,Spain,Data Base Design Analyst,44,1,0.0117%
3138,Spain,,48,1,0.0117%
3139,Spain,Data Processing Consultant,48,1,0.0117%
3140,Spain,Oracle Database Administrator (Oracle DBA),59,1,0.0117%
3141,Spain,,36,1,0.0117%
3142,Spain,Database Administration Associate,40,1,0.0117%
3143,Spain,Data Processing Clerk,34,1,0.0117%
3144,Spain,,27,1,0.0117%
3145,Spain,Database Development Project Manager,34,1,0.0117%
3146,Spain,,16,1,0.0117%
3147,Spain,,47,1,0.0117%
3148,Spain,,27,1,0.0117%
3149,Spain,,49,1,0.0117%
3150,Spain,Data Warehouse Architect,60,1,0.0117%
3151,Spain,,23,1,0.0117%
3152,Spain,Data Processing Equipment Repairer,35,1,0.0117%
3153,Spain,Data Modeling Specialist,49,1,0.0117%
3154,Spain,Data Communications Software Consultant,30,1,0.0117%
3155,Spain,Data Compiler,35,1,0.0117%
3156,Spain,Data Examination Clerk,41,1,0.0117%
3157,Spain,,41,1,0.0117%
3158,Spain,,25,1,0.0117%
3159,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),53,1,0.0117%
3160,Spain,Database Software Technician,39,1,0.0117%
3161,Spain,Electronic Data Interchange System Developer (EDI System Developer),44,1,0.0117%
3162,Spain,Oracle Database Administrator (Oracle DBA),43,1,0.0117%
3163,Spain,Data Systems Manager,33,1,0.0117%
3164,Spain,,55,1,0.0117%
3165,Spain,,47,1,0.0117%
3166,Spain,Automatic Data Processing Planner,54,1,0.0117%
3167,Spain,,20,1,0.0117%
3168,Spain,,27,1,0.0117%
3169,Spain,,20,1,0.0117%
3170,Spain,Oracle Database Administrator (Oracle DBA),42,1,0.0117%
3171,Spain,,49,1,0.0117%
3172,Spain,Data Coordinator,49,1,0.0117%
3173,Spain,,34,1,0.0117%
3174,Spain,Geographic Information Systems Data Manager (GIS Data Manager),44,1,0.0117%
3175,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),49,1,0.0117%
3176,Spain,Data Systems Manager,29,1,0.0117%
3177,Spain,Computer or Data Processing Systems Consultant,36,1,0.0117%
3178,Spain,,29,1,0.0117%
3179,Spain,Data Security Administrator,31,1,0.0117%
3180,Spain,,31,1,0.0117%
3181,Spain,Data Warehousing Manager,46,1,0.0117%
3182,Spain,,41,1,0.0117%
3183,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),48,1,0.0117%
3184,Spain,Data Warehousing Engineer,39,1,0.0117%
3185,Spain,,55,1,0.0117%
3186,Spain,Database Management System Specialist (DBMS Specialist),43,1,0.0117%
3187,Spain,Data Security Administrator,24,1,0.0117%
3188,Spain,Data Storage Specialist,47,1,0.0117%
3189,Spain,,22,1,0.0117%
3190,Spain,Data Sciences Director,42,1,0.0117%
3191,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),35,1,0.0117%
3192,Spain,,41,1,0.0117%
3193,Spain,,43,1,0.0117%
3194,Spain,Database Designer,58,1,0.0117%
3195,Spain,Internet Database Specialist,47,1,0.0117%
3196,Spain,,18,1,0.0117%
3197,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),44,1,0.0117%
3198,Spain,,25,1,0.0117%
3199,Spain,,18,1,0.0117%
3200,Spain,Electronic Data Processing Auditor (EDP Auditor),29,1,0.0117%
3201,Spain,,41,1,0.0117%
3202,Spain,,24,1,0.0117%
3203,Spain,Data Warehouse Architect,39,1,0.0117%
3204,Spain,,53,1,0.0117%
3205,Spain,,18,1,0.0117%
3206,Spain,Voice and Data Technician,41,1,0.0117%
3207,Spain,Data Compiler,29,1,0.0117%
3208,Spain,,63,1,0.0117%
3209,Spain,Databases Software Consultant,27,1,0.0117%
3210,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",33,1,0.0117%
3211,Spain,Data Processing Systems Project Planner,42,1,0.0117%
3212,Spain,,28,1,0.0117%
3213,Spain,,25,1,0.0117%
3214,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),57,1,0.0117%
3215,Spain,,52,1,0.0117%
3216,Spain,,23,1,0.0117%
